"Accession","4087_10_255_LT","4088_12_259","4089_24_270","4107_44_268_LT","4095_2_265","4096_15_260","4090_22_302","4091_23_282","4092_1_308","4093_3_316","4094_14_320","4108_42_297","4109_34_301","4110_18_311","4111_29_305","4112_35_321","4113_17_277","4114_21_267","4115_25_275","4116_20_286","4127_39_304_LT","4128_33_280","4129_31_314","4130_52_331","4131_47_251","4132_55_269","4133_51_258","4134_37_287","4135_45_303","4136_43_299","4147_64_330_LT","4148_62_324"
"F1MH40|F1MH40_BOVIN","411035.7137","543068.932","230171.1033","158832.1879","362176.5617","290261.7321","166740.9999","240364.7798","211013.3388","459663.7077","190046.8209","122323.4794","412482.6845","137254.1493","197452.7128","168295.5794","353127.5981","233206.4535","225033.0821","113954.1239","234690.9633","346905.4604","442429.8994","463104.3744","328747.2984","279109.8151","148779.9726","310419.4708","152031.6496","352540.0872","1056135.224","297146.8044"
"A0A3Q1M657|A0A3Q1M657_BOVIN","14965384.3","14392046.49","13754919.24","15441707.04","4874358.006","18604373.88","6526203.538","16061580.75","6939590.266","14361976.42","14725526.23","9173747.433","11356857.78","5526200.563","13134243.07","8941183.831","10660199.78","15583397.18","14164176.46","21229334.29","12275043.97","18659170.89","18936027.13","7561467.781","14874758.26","14617770.87","33108733.63","6888968.313","14586261.13","8382984.639","12764165.57","28841218.79"
"O77834|PRDX6_BOVIN;A0A3Q1LKU1|A0A3Q1LKU1_BOVIN","4299116.018","4956258.935","2773341.889","3107375.333","3364687.002","6311751.179","4147508.82","5085120.504","1191633.725","4991642.874","4139736.361","6731675.603","3053710.458","5142296.38","3552879.952","5088716.64","4950016.123","4452818.805","2337300.096","5413830.725","5366712.282","6425222.811","3990801.589","4413211.647","2917464.462","5477640.775","4382082.721","3405548.947","3929865.004","4182626.028","5112398.932","1939974.494"
"A0A3Q1MMX7|A0A3Q1MMX7_BOVIN","3613.114328","13179.41998","0","4827.869378","1393.275434","0","11891.44933","7852.984329","0","0","1714.856346","1736.173965","0","3344.421052","1530.542965","0","0","2000.13336","0","1762.20792","0","1658.009259","44088.23526","0","23596.08582","3863.213262","4596.721092","11124.76529","0","5842.09473","3823.387683","0"
"P12234|MPCP_BOVIN;A6QQ54|A6QQ54_BOVIN","3305272.588","2113861.332","1629534.717","2772076.978","4060100.609","3882011.692","2898000.815","2633280.191","1602048.881","2276951.992","4460240.35","1682050.387","2225878.316","2378140.161","2702671.763","2960654.875","4483964.909","3284219.261","2072331.917","2948020.195","3427237.346","1544352.023","3467286.242","3109786.011","2508174.822","2921837.882","2885722.744","2052103.245","1326185.438","2005814.125","2768623.226","3399996.106"
"A0A452DIW4|A0A452DIW4_BOVIN","21114617.59","21017210.61","26978839.82","25384260.83","24849840.62","41068516.5","26059146.33","26086772.35","18427436.92","27264175.88","30198182.78","14771029.91","27962152.82","20988753.16","20021524.3","24606163.88","27934313.52","27338167.16","20445375","19650679.05","30466068.78","21946507.67","32181813.77","24079311.99","20984135.13","26050842.09","23735683.13","20118226.17","19151277.83","23247540.91","35866515.56","28985109.8"
"A0A3Q1LTZ5|A0A3Q1LTZ5_BOVIN","1783128.23","1605939.322","803122.4035","1123980.859","3405548.921","2971507.251","2707010.453","2100498.239","1065259.111","1334253.768","3210769.797","856248.8198","1367969.174","1768637.169","1050139.027","1606197.682","3598645.691","1716224.789","1053806.985","1945155.982","2429623.16","819500.5044","2817693.967","1999056.488","1599717.248","2024693.454","2059323.087","758999.8982","812849.0688","1306787.126","1994207.071","2084267.696"
"A0A3Q1LH95|A0A3Q1LH95_BOVIN","11744.5742","18259.0894","10234.53175","23935.27872","12714.94854","8237.902842","8815.817747","8882.235399","2644.65343","949.4343821","10290.81528","8902.179835","19343.74213","15546.11106","8011.519757","24138.41053","19767.01619","14049.84889","11301.04661","10646.091","12816.60681","8357.462441","15081.01836","15826.76693","2465.954985","17298.73673","6056.497638","7186.764468","12740.27728","8115.871831","5531.488528","13578.1418"
"F1N6H1|F1N6H1_BOVIN","496978.471","567985.1562","6072260.771","158404.8314","541819.2074","4499411.337","461443.8298","543604.3826","708865.4422","4676705.773","675621.5022","453953.5917","4071322.433","884769.2262","578524.5813","395789.4141","964032.4591","381373.9826","571185.1445","883517.3121","500821.5054","4017229.509","321203.8214","492747.399","249460.0505","442315.2806","614233.7355","337262.8498","4436999.716","400698.3762","5781986.052","508195.7288"
"P10522|MYP0_BOVIN","345102.6084","362809.9215","681158.4603","1032986.443","443561.4356","1252070.121","416074.9325","391924.9839","760168.272","1395595.917","445858.317","548671.4231","816610.9541","486035.0347","482306.071","486739.927","451740.2412","499554.9983","534096.6782","451797.27","600423.1087","1054299.388","277830.0729","441533.7023","259019.7259","492491.4092","409922.3332","502083.3082","863566.4948","343213.7235","1064171.818","409173.7659"
